epoch,batch,train_loss,train_accuracy
0,0,7.7248893,0.0
1,1,5.769781,0.125
1,2,4.7025366,0.25
1,3,4.519419,0.375
1,4,2.6561105,0.625
1,5,2.703132,0.875
1,6,0.6845379,1.0
1,7,3.5451574,0.625
1,8,1.2156603,0.875
1,9,4.4083,0.5
1,10,0.48265624,0.75
1,11,0.25342715,1.0
1,12,0.53071153,0.875
1,13,1.0094596,0.75
1,14,2.0509112,0.625
1,15,1.2232522,0.75
1,16,0.4920075,0.875
1,17,0.53376544,0.75
1,18,0.16232632,0.875
1,19,0.5893154,0.625
1,20,0.25473306,0.875
1,21,1.6961516,0.5
1,22,3.1930964,0.375
1,23,1.0107257,0.75
1,24,1.699095,0.625
1,25,0.30116218,0.875
1,26,0.55721074,0.75
1,27,0.3846776,0.875
1,28,1.4246061,0.5
1,29,0.56665194,0.75
1,30,0.7090509,0.875
1,31,0.52390265,0.75
1,32,0.25249723,0.875
1,33,0.5013677,0.75
1,34,0.4847469,0.625
1,35,0.5452356,0.75
1,36,0.1771457,0.875
1,37,0.33165634,0.875
1,38,0.5172283,0.75
1,39,0.22922552,0.875
1,40,0.14034927,1.0
1,41,1.6693965,0.375
1,42,0.08001388,1.0
1,43,0.5949294,0.75
1,44,0.13403855,1.0
1,45,0.48019806,0.75
1,46,0.18582478,1.0
1,47,0.7168443,0.625
1,48,0.87132025,0.75
1,49,0.18505794,0.875
1,50,0.5137688,0.625
1,51,0.877011,0.75
1,52,0.22361802,0.875
1,53,0.37288687,0.75
1,54,0.14697382,1.0
1,55,1.4706959,0.75
1,56,0.59791404,0.875
1,57,0.25046942,0.875
1,58,1.043412,0.625
1,59,0.2433374,0.875
1,60,0.34250566,0.875
1,61,0.21673928,1.0
1,62,0.46638313,0.75
1,63,0.35046655,0.875
1,64,0.15233755,1.0
1,65,0.19363596,1.0
1,66,0.08372825,1.0
1,67,0.26965392,0.875
1,68,0.63871825,0.625
1,69,0.4632283,0.75
1,70,0.2319914,1.0
1,71,0.20021696,1.0
1,72,0.6269428,0.75
1,73,0.027681008,1.0
1,74,0.707808,0.75
1,75,0.5467794,0.75
1,76,0.037089862,1.0
1,77,0.10022713,1.0
1,78,0.21318649,1.0
1,79,0.2831733,0.875
1,80,0.6081257,0.875
1,81,1.1800222,0.625
1,82,1.2848986,0.75
1,83,0.7247747,0.875
1,84,0.11693445,1.0
1,85,0.61776674,0.75
1,86,0.5732943,0.75
1,87,1.748983,0.625
1,88,0.3949513,0.75
1,89,0.80826956,0.625
1,90,0.22153984,0.875
1,91,0.4979282,0.75
1,92,0.6779815,0.875
1,93,0.49779043,0.75
1,94,0.41844243,0.625
1,95,0.31410778,0.875
1,96,0.41578707,0.75
1,97,1.072793,0.625
1,98,0.34673563,0.875
1,99,0.6585703,0.625
1,100,0.7361496,0.625
1,101,0.52569765,0.625
1,102,0.98227686,0.5
1,103,0.57924813,0.75
1,104,0.22947481,0.875
1,105,0.59658045,0.75
1,106,0.18886779,1.0
1,107,0.30624273,0.75
1,108,0.3321472,0.875
1,109,0.20832404,0.875
1,110,0.48169938,0.625
1,111,0.29402322,0.875
1,112,0.12728497,1.0
1,113,0.52479124,0.75
1,114,0.115684696,1.0
1,115,0.39359972,0.875
1,116,1.1164036,0.75
1,117,0.6091639,0.75
1,118,0.8298794,0.625
1,119,0.39728954,0.875
1,120,0.19100598,1.0
1,121,0.124083474,1.0
1,122,0.52224284,0.75
1,123,0.36759552,0.875
1,124,0.2153772,0.875
1,125,0.3753013,0.625
1,126,0.28762358,0.75
1,127,0.20649926,1.0
1,128,0.62840307,0.75
1,129,0.077852145,1.0
1,130,0.20214036,0.875
1,131,0.29623654,0.75
1,132,0.15245178,1.0
1,133,0.72611415,0.75
1,134,2.1236,0.625
1,135,1.0897437,0.5
1,136,0.34935048,0.875
1,137,0.5960931,0.625
1,138,0.13636656,1.0
1,139,0.14592828,1.0
1,140,0.2707637,1.0
1,141,0.21299072,0.875
1,142,0.33200315,0.875
1,143,0.3390059,0.875
1,144,0.6898714,0.875
1,145,0.46292782,0.75
1,146,0.12638152,1.0
1,147,0.9631539,0.5
1,148,0.19513424,0.875
1,149,0.5051465,0.75
1,150,0.9535977,0.625
1,151,0.24155541,0.875
1,152,0.312922,0.875
1,153,0.3712384,0.875
1,154,0.22400732,1.0
1,155,0.35879555,0.875
1,156,0.12619063,1.0
1,157,0.25639075,0.875
1,158,0.2119818,1.0
1,159,0.1343141,0.875
1,160,0.3147419,0.875
1,161,0.11991115,1.0
1,162,0.49004105,0.875
1,163,1.3360077,0.625
1,164,0.40051064,0.75
1,165,0.5251817,0.875
1,166,0.883274,0.75
1,167,0.60242593,0.625
1,168,0.3910084,0.875
1,169,0.26730052,0.875
1,170,0.23028573,1.0
1,171,0.16116211,1.0
1,172,0.07927784,1.0
1,173,0.40619466,0.875
1,174,0.5583174,0.625
1,175,0.18496367,1.0
1,176,0.1233706,1.0
1,177,0.55721736,0.75
1,178,1.0385311,0.625
1,179,0.084547214,1.0
1,180,0.51102287,0.625
1,181,0.04056254,1.0
1,182,0.21307145,1.0
1,183,0.7009157,0.75
1,184,0.33153677,0.875
1,185,0.38983837,0.875
1,186,0.32707745,0.875
1,187,0.049390648,1.0
1,188,0.075465135,1.0
1,189,0.86158913,0.875
1,190,0.08590404,1.0
1,191,0.43895712,0.875
1,192,0.10235606,1.0
1,193,0.73425543,0.75
1,194,0.102946,1.0
1,195,0.108765975,1.0
1,196,0.7461547,0.75
1,197,0.28802925,0.875
1,198,0.92686474,0.625
1,199,0.673165,0.875
1,200,0.12378674,1.0
1,201,0.11848411,1.0
1,202,0.062456053,1.0
1,203,0.19665982,0.875
1,204,0.31798077,0.875
1,205,0.19358017,0.875
1,206,0.15479544,0.875
1,207,0.23263943,0.875
1,208,0.21877359,0.875
1,209,0.17319046,0.875
1,210,0.0711792,1.0
1,211,0.038482293,1.0
1,212,0.2935291,0.875
1,213,0.63759667,0.75
1,214,1.3388761,0.75
1,215,0.28253177,0.875
1,216,0.3081376,0.875
1,217,0.8570704,0.75
1,218,0.3259551,0.875
1,219,0.35343993,0.875
1,220,0.36853847,0.875
1,221,0.26143566,0.875
1,222,0.46325853,0.875
1,223,0.16083527,0.875
1,224,0.2791334,0.875
1,225,0.76317406,0.75
1,226,0.26572388,0.875
1,227,0.18184917,1.0
1,228,0.0726448,1.0
1,229,0.10484883,1.0
1,230,0.4254564,0.75
1,231,0.336463,0.875
1,232,1.3097825,0.75
1,233,0.3060096,0.875
1,234,0.0808547,1.0
1,235,0.5606869,0.875
1,236,0.06885906,1.0
1,237,2.1910279,0.375
1,238,0.20505676,0.875
1,239,0.51221013,0.625
1,240,0.31876117,0.875
1,241,0.5698022,0.75
1,242,0.26509282,0.875
1,243,0.20944095,1.0
1,244,0.27574947,1.0
1,245,0.39022425,0.875
1,246,0.53192097,0.75
1,247,0.16823441,1.0
1,248,0.2582141,1.0
1,249,0.29559907,0.875
1,250,0.16576983,1.0
1,251,0.33263707,0.75
1,252,0.44765672,0.75
1,253,1.0493506,0.625
1,254,0.26673034,0.875
1,255,0.2386326,0.875
1,256,0.21344423,0.875
1,257,0.7602715,0.75
1,258,0.10840704,1.0
1,259,0.22235386,0.875
1,260,0.2837802,0.875
1,261,0.5732095,0.625
1,262,0.56012565,0.75
1,263,0.20834321,1.0
1,264,0.43646592,0.875
1,265,0.7425634,0.75
1,266,0.16517574,1.0
1,267,0.0434766,1.0
1,268,0.0773237,1.0
1,269,0.2531777,0.875
1,270,0.6969529,0.75
1,271,0.045613185,1.0
1,272,0.6179276,0.75
1,273,0.55353624,0.875
1,274,0.062312823,1.0
1,275,0.42644176,0.875
1,276,0.050808325,1.0
1,277,0.1270108,1.0
1,278,0.23669922,0.875
1,279,0.79122233,0.75
1,280,0.4177057,0.75
1,281,0.13752237,1.0
1,282,0.111575626,1.0
1,283,0.11195483,1.0
1,284,0.14741856,0.875
1,285,0.29777125,0.875
1,286,0.2073965,0.875
1,287,0.077766016,1.0
1,288,0.8102846,0.625
1,289,0.4410637,0.875
1,290,0.09924304,1.0
1,291,0.3941014,0.875
1,292,0.85145175,0.75
1,293,0.62004447,0.625
1,294,0.25013968,0.875
1,295,0.14657818,0.875
1,296,0.13395976,0.875
1,297,0.31731102,0.75
1,298,0.30460778,0.875
1,299,0.30557862,0.75
1,300,0.09381808,1.0
1,301,0.61718,0.625
1,302,0.50781786,0.875
1,303,0.11911693,1.0
1,304,0.8486722,0.75
1,305,0.020610241,1.0
1,306,0.09536354,1.0
1,307,0.17538117,0.875
1,308,0.47203776,0.75
1,309,0.54656154,0.75
1,310,0.16233933,0.875
1,311,0.4095947,0.875
1,312,0.28291607,0.875
1,313,0.24236107,0.75
1,314,0.18677858,0.875
1,315,0.08007123,1.0
1,316,0.27396575,0.875
1,317,0.17016058,0.875
1,318,0.55560166,0.875
1,319,0.19210155,0.875
1,320,0.051443115,1.0
1,321,0.26671484,0.875
1,322,0.6977339,0.75
1,323,0.21978647,0.875
1,324,0.041540563,1.0
1,325,0.11042251,1.0
1,326,0.059550103,1.0
1,327,0.5588968,0.75
1,328,0.33682203,0.875
1,329,0.18311936,1.0
1,330,0.30204743,0.875
1,331,0.120586246,1.0
1,332,0.14497763,1.0
1,333,0.78683066,0.75
1,334,0.5872059,0.875
1,335,0.11642516,1.0
1,336,0.1269092,1.0
1,337,0.46182406,0.75
1,338,0.07012542,1.0
1,339,0.34488377,0.75
1,340,0.2431835,0.875
1,341,0.1579662,0.875
1,342,0.039688215,1.0
1,343,0.42869353,0.875
1,344,0.102686286,1.0
1,345,0.4239539,0.75
1,346,0.6507205,0.75
1,347,0.23002127,1.0
1,348,0.3461702,0.875
1,349,0.09415786,1.0
1,350,0.25624382,1.0
1,351,0.120927595,0.875
1,352,0.4127713,0.875
1,353,0.13599943,1.0
1,354,0.09514701,1.0
1,355,0.056898437,1.0
1,356,0.173273,0.875
1,357,0.068707205,1.0
1,358,0.04903641,1.0
1,359,0.11370428,1.0
1,360,0.033048518,1.0
1,361,0.15901618,0.875
1,362,0.19675298,0.875
1,363,0.14639708,0.875
1,364,0.20846583,0.875
1,365,0.54976356,0.75
1,366,1.2699925,0.875
1,367,0.013223562,1.0
1,368,0.046179373,1.0
1,369,0.40577337,0.875
1,370,0.07067733,1.0
1,371,0.1260116,1.0
1,372,0.0766345,1.0
1,373,0.083285585,1.0
1,374,0.14464189,0.875
1,375,0.02905533,1.0
1,376,0.10102098,1.0
1,377,1.1648731,0.625
1,378,0.027868524,1.0
1,379,0.069604695,1.0
1,380,0.29926786,0.875
1,381,0.27418995,0.875
1,382,0.17489924,0.875
1,383,0.15647931,0.875
1,384,0.021520536,1.0
1,385,0.25691307,0.875
1,386,0.4700509,0.875
1,387,0.15141605,0.875
1,388,0.046844937,1.0
1,389,0.730538,0.5
1,390,1.3199182,0.625
1,391,0.11380835,1.0
1,392,1.3402658,0.75
1,393,0.28973204,1.0
1,394,0.062572025,1.0
1,395,0.23013563,0.875
1,396,0.081778325,1.0
1,397,0.07043298,1.0
1,398,0.03888907,1.0
1,399,0.7106666,0.625
1,400,0.039728582,1.0
1,401,0.39500764,0.75
1,402,0.418479,0.75
1,403,0.7610219,0.75
1,404,0.50717765,0.75
1,405,0.42136723,0.875
1,406,0.018709488,1.0
1,407,0.18234088,0.875
1,408,0.032509264,1.0
1,409,0.1462326,0.875
1,410,0.38449788,0.75
1,411,0.22754894,0.875
1,412,0.71574605,0.875
1,413,0.3921924,0.875
1,414,1.2788283,0.75
1,415,0.8113449,0.875
1,416,1.1815714,0.5
1,417,0.8431671,0.75
1,418,0.5511441,0.625
1,419,0.8070477,0.75
1,420,0.29295176,1.0
1,421,0.5929172,0.5
1,422,0.23695362,0.875
1,423,0.577051,0.625
1,424,0.6236932,0.75
1,425,0.99560213,0.5
1,426,0.4835748,0.625
1,427,0.54386604,0.875
1,428,0.6583685,0.625
1,429,0.87224585,0.625
1,430,0.06508412,1.0
1,431,0.3117062,0.875
1,432,0.83810437,0.5
1,433,0.97867763,0.5
1,434,0.06566135,1.0
1,435,0.12352724,1.0
1,436,0.53571016,0.75
1,437,0.6918727,0.75
1,438,0.255728,0.875
1,439,0.42375055,0.75
1,440,0.2567034,0.875
1,441,0.92088926,0.75
1,442,0.22920191,1.0
1,443,0.31639317,0.875
1,444,0.1424285,1.0
1,445,0.23638749,1.0
1,446,0.37955588,0.75
1,447,0.33115745,0.75
1,448,0.065832555,1.0
1,449,0.11575275,1.0
1,450,0.12955806,1.0
1,451,0.527215,0.625
1,452,0.06500394,1.0
1,453,0.071215525,1.0
1,454,0.05212514,1.0
1,455,0.10761152,1.0
1,456,0.55022246,0.625
1,457,0.059271082,1.0
1,458,0.6110108,0.875
1,459,0.0294325,1.0
1,460,0.11810703,0.875
1,461,0.036419094,1.0
1,462,0.13579139,0.875
1,463,0.1300546,0.875
1,464,0.65844434,0.75
1,465,0.22076288,0.875
1,466,0.64717853,0.75
1,467,0.22365843,0.875
1,468,0.92106855,0.5
1,469,0.12011628,1.0
1,470,0.30506706,0.75
1,471,0.039259557,1.0
1,472,0.47364557,0.875
1,473,0.21580288,0.875
1,474,0.05984435,1.0
1,475,0.3442341,0.875
1,476,0.100424126,1.0
1,477,0.9765554,0.75
1,478,0.1168705,1.0
1,479,0.100162454,1.0
1,480,0.4650715,0.75
1,481,1.3149145,0.5
1,482,0.21031426,0.875
1,483,0.24352257,0.875
1,484,0.65558386,0.75
1,485,0.13842894,1.0
1,486,0.0920347,1.0
1,487,0.2650941,0.875
1,488,0.4792741,0.875
1,489,0.12133759,1.0
1,490,0.39747772,0.875
1,491,0.15675142,1.0
1,492,0.14930491,1.0
1,493,0.13722329,1.0
1,494,0.48798895,0.875
1,495,0.42450768,0.625
1,496,0.45492283,0.875
1,497,0.28035268,0.875
