epoch,batch,train_loss,train_accuracy
0.0,0.0,1.0947615,0.375
1.0,1.0,1.0114746,0.578125
1.0,2.0,1.0081806,0.4375
1.0,3.0,0.9557206,0.609375
1.0,4.0,0.9447263,0.5625
1.0,5.0,0.8720116,0.640625
1.0,6.0,0.9014292,0.5625
1.0,7.0,0.8615037,0.53125
1.0,8.0,0.8695674,0.578125
1.0,9.0,0.88510174,0.640625
1.0,10.0,0.8753022,0.578125
1.0,11.0,0.75331056,0.75
1.0,12.0,0.9077279,0.46875
1.0,13.0,0.82727516,0.609375
1.0,14.0,0.70069456,0.734375
1.0,15.0,0.7325376,0.65625
1.0,16.0,0.87322545,0.578125
1.0,17.0,0.6960335,0.734375
1.0,18.0,0.70373154,0.671875
1.0,19.0,0.7628518,0.578125
1.0,20.0,0.6709206,0.703125
1.0,21.0,0.7207312,0.71875
1.0,22.0,0.8301523,0.59375
1.0,23.0,0.710272,0.609375
1.0,24.0,0.74129987,0.671875
1.0,25.0,0.87468266,0.546875
1.0,26.0,0.58765227,0.8125
1.0,27.0,0.5957183,0.796875
1.0,28.0,0.7160593,0.59375
1.0,29.0,0.8035689,0.59375
1.0,30.0,0.63844085,0.703125
1.0,31.0,0.59252673,0.78125
1.0,32.0,0.6713344,0.65625
1.0,33.0,0.63110965,0.6875
1.0,34.0,0.68117297,0.71875
1.0,35.0,0.66181743,0.71875
1.0,36.0,0.6416677,0.765625
1.0,37.0,0.723711,0.765625
1.0,38.0,0.78185755,0.75
1.0,39.0,0.591731,0.84375
1.0,40.0,0.77256006,0.65625
1.0,41.0,0.58873767,0.75
1.0,42.0,0.5689315,0.71875
1.0,43.0,0.6470551,0.734375
1.0,44.0,0.6914691,0.65625
1.0,45.0,0.5446683,0.84375
1.0,46.0,0.62113106,0.703125
1.0,47.0,0.72085696,0.59375
1.0,48.0,0.6667334,0.6875
1.0,49.0,0.6216706,0.734375
1.0,50.0,0.60026133,0.765625
1.0,51.0,0.6534337,0.6875
1.0,52.0,0.52199167,0.828125
1.0,53.0,0.623642,0.6875
1.0,54.0,0.6704773,0.71875
1.0,55.0,0.7093228,0.625
1.0,56.0,0.67354035,0.71875
1.0,57.0,0.60180277,0.71875
1.0,58.0,0.62685263,0.703125
1.0,59.0,0.58287024,0.75
1.0,60.0,0.66617906,0.71875
1.0,61.0,0.5766551,0.71875
1.0,62.0,0.5363891,0.828125
1.0,63.0,0.6620116,0.703125
1.0,64.0,0.61003035,0.6875
1.0,65.0,0.6056773,0.78125
1.0,66.0,0.6035498,0.78125
1.0,67.0,0.55237824,0.71875
1.0,68.0,0.6557597,0.6875
1.0,69.0,0.5801167,0.75
1.0,70.0,0.56263614,0.78125
1.0,71.0,0.664285,0.671875
1.0,72.0,0.6046778,0.6875
1.0,73.0,0.67096245,0.6875
1.0,74.0,0.55782914,0.765625
1.0,75.0,0.6805559,0.703125
1.0,76.0,0.5958041,0.734375
1.0,77.0,0.6070523,0.671875
1.0,78.0,0.6470654,0.65625
1.0,79.0,0.59628445,0.71875
1.0,80.0,0.7554629,0.640625
1.0,81.0,0.5598368,0.796875
1.0,82.0,0.58054006,0.75
1.0,83.0,0.66134727,0.65625
1.0,84.0,0.63750106,0.734375
1.0,85.0,0.603229,0.75
1.0,86.0,0.48598227,0.828125
1.0,87.0,0.5951685,0.71875
1.0,88.0,0.595074,0.8125
1.0,89.0,0.5033625,0.84375
1.0,90.0,0.60671896,0.796875
1.0,91.0,0.501524,0.84375
1.0,92.0,0.56703275,0.734375
1.0,93.0,0.60406893,0.765625
1.0,94.0,0.5789192,0.78125
1.0,95.0,0.52032053,0.765625
1.0,96.0,0.5049846,0.8125
1.0,97.0,0.5567457,0.734375
1.0,98.0,0.5916695,0.75
1.0,99.0,0.538908,0.8125
1.0,100.0,0.54797447,0.859375
1.0,101.0,0.6755856,0.65625
1.0,102.0,0.5717231,0.765625
1.0,103.0,0.5530628,0.75
1.0,104.0,0.49072143,0.859375
1.0,105.0,0.6862176,0.71875
