"Step","0302125358 - test_loss","0302125358 - test_loss__MIN","0302125358 - test_loss__MAX"
"375","0.6531498432159424","0.6531498432159424","0.6531498432159424"
"751","0.028951192274689674","0.028951192274689674","0.028951192274689674"
"1127","0.43431293964385986","0.43431293964385986","0.43431293964385986"
"1503","0.021308980882167816","0.021308980882167816","0.021308980882167816"
"1879","0.07562052458524704","0.07562052458524704","0.07562052458524704"
"2255","0.013142806477844715","0.013142806477844715","0.013142806477844715"
"2631","0.0054861027747392654","0.0054861027747392654","0.0054861027747392654"
"3007","0.008077330887317657","0.008077330887317657","0.008077330887317657"
"3383","0.020301619544625282","0.020301619544625282","0.020301619544625282"
"3759","0.014734222553670406","0.014734222553670406","0.014734222553670406"
"4135","0.0024628471583127975","0.0024628471583127975","0.0024628471583127975"
"4511","0.00009581952326698229","0.00009581952326698229","0.00009581952326698229"
"4887","0.0023776465095579624","0.0023776465095579624","0.0023776465095579624"
"5263","0.00493569066748023","0.00493569066748023","0.00493569066748023"
"5639","0.0007332626264542341","0.0007332626264542341","0.0007332626264542341"
