"Step","0415183930 - test_precision","0415183930 - test_precision__MIN","0415183930 - test_precision__MAX"
"375","0.9512266462784037","0.9512266462784037","0.9512266462784037"
"751","0.9583634330055227","0.9583634330055227","0.9583634330055227"
"1127","0.9617845650145457","0.9617845650145457","0.9617845650145457"
"1503","0.9569884954597155","0.9569884954597155","0.9569884954597155"
"1879","0.9401730774077315","0.9401730774077315","0.9401730774077315"
"2255","0.9656908876285645","0.9656908876285645","0.9656908876285645"
"2631","0.9597980334606065","0.9597980334606065","0.9597980334606065"
"3007","0.9613796734733336","0.9613796734733336","0.9613796734733336"
"3383","0.9670545646764547","0.9670545646764547","0.9670545646764547"
"3759","0.9691430620058504","0.9691430620058504","0.9691430620058504"
"4135","0.9695993029947642","0.9695993029947642","0.9695993029947642"
"4511","0.9692716860542084","0.9692716860542084","0.9692716860542084"
"4887","0.9661888033605379","0.9661888033605379","0.9661888033605379"
"5263","0.9706664477585777","0.9706664477585777","0.9706664477585777"
"5639","0.9700756126441101","0.9700756126441101","0.9700756126441101"
