"Step","0415183930 - test_recall","0415183930 - test_recall__MIN","0415183930 - test_recall__MAX"
"375","0.9486666666666667","0.9486666666666667","0.9486666666666667"
"751","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"1127","0.9606666666666667","0.9606666666666667","0.9606666666666667"
"1503","0.9546666666666667","0.9546666666666667","0.9546666666666667"
"1879","0.9286666666666666","0.9286666666666666","0.9286666666666666"
"2255","0.9656666666666666","0.9656666666666666","0.9656666666666666"
"2631","0.96","0.96","0.96"
"3007","0.9586666666666667","0.9586666666666667","0.9586666666666667"
"3383","0.9663333333333334","0.9663333333333334","0.9663333333333334"
"3759","0.969","0.969","0.969"
"4135","0.969","0.969","0.969"
"4511","0.9686666666666667","0.9686666666666667","0.9686666666666667"
"4887","0.965","0.965","0.965"
"5263","0.9706666666666667","0.9706666666666667","0.9706666666666667"
"5639","0.9699999999999999","0.9699999999999999","0.9699999999999999"
