epoch,batch,train_loss,train_accuracy
0,0,1.1556928,0.34375
1,1,1.1568294,0.375
1,2,1.0120468,0.46875
1,3,0.90330505,0.6875
1,4,0.7181491,0.84375
1,5,0.9191783,0.65625
1,6,0.90840924,0.625
1,7,0.6944379,0.71875
1,8,0.6624204,0.75
1,9,0.6584876,0.84375
1,10,0.609723,0.8125
1,11,0.58320445,0.84375
1,12,0.53128785,0.90625
1,13,0.5278042,0.875
1,14,0.53891677,0.875
1,15,0.55561733,0.90625
1,16,0.46445787,0.84375
1,17,0.4130907,0.875
1,18,0.46148887,0.78125
1,19,0.49220952,0.8125
1,20,0.3623513,0.9375
1,21,0.3657681,0.96875
1,22,0.30152306,0.875
1,23,0.603125,0.6875
1,24,0.48718333,0.71875
1,25,0.35613033,0.875
1,26,0.41128036,0.78125
1,27,0.47942165,0.84375
1,28,0.38930815,0.84375
1,29,0.35427314,0.90625
1,30,0.38283384,0.84375
1,31,0.36578986,0.90625
1,32,0.38257945,0.90625
1,33,0.47302625,0.8125
1,34,0.28177854,0.9375
1,35,0.33708575,0.9375
1,36,0.40489787,0.84375
1,37,0.32219997,0.90625
1,38,0.36453202,0.84375
1,39,0.47412467,0.9375
1,40,0.28220296,0.9375
1,41,0.2408323,0.90625
1,42,0.5116228,0.8125
1,43,0.31681305,0.875
1,44,0.42428136,0.78125
1,45,0.276274,0.9375
1,46,0.292531,0.96875
1,47,0.36019346,0.875
1,48,0.25494605,0.9375
1,49,0.47442377,0.75
1,50,0.28724295,0.875
1,51,0.3598583,0.875
1,52,0.2119308,0.96875
1,53,0.38658658,0.84375
1,54,0.27470067,0.96875
1,55,0.30344766,0.875
1,56,0.3158691,0.90625
1,57,0.4059723,0.8125
1,58,0.31983858,0.84375
1,59,0.3970112,0.8125
1,60,0.2847966,0.90625
1,61,0.28465706,0.9375
1,62,0.48394543,0.75
1,63,0.38932446,0.90625
1,64,0.26773143,0.9375
1,65,0.23673478,0.9375
1,66,0.23218375,0.96875
1,67,0.33363584,0.875
1,68,0.5304037,0.75
1,69,0.25504372,0.9375
1,70,0.25489688,0.9375
1,71,0.2773011,0.90625
1,72,0.28934303,0.84375
1,73,0.27900302,0.90625
1,74,0.31322068,0.875
1,75,0.42489997,0.84375
1,76,0.3106473,0.90625
1,77,0.25262085,0.9375
1,78,0.3836215,0.84375
1,79,0.3482653,0.8125
1,80,0.48753718,0.78125
1,81,0.13077784,1.0
1,82,0.3022715,0.8125
1,83,0.42535314,0.78125
1,84,0.4961939,0.84375
