"epoch","0415093936 - _step","0415093936 - _step__MIN","0415093936 - _step__MAX","0415093936 - test_accuracy","0415093936 - test_accuracy__MIN","0415093936 - test_accuracy__MAX"
"1","1500","1500","1500","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"2","3001","3001","3001","0.9013333333333333","0.9013333333333333","0.9013333333333333"
"3","4502","4502","4502","0.9716666666666667","0.9716666666666667","0.9716666666666667"
"4","6003","6003","6003","0.9916666666666667","0.9916666666666667","0.9916666666666667"
"5","7504","7504","7504","0.9933333333333333","0.9933333333333333","0.9933333333333333"
"6","9005","9005","9005","0.9993333333333333","0.9993333333333333","0.9993333333333333"
"7","10506","10506","10506","0.9983333333333333","0.9983333333333333","0.9983333333333333"
"8","12007","12007","12007","0.9963333333333333","0.9963333333333333","0.9963333333333333"
"9","13508","13508","13508","0.987","0.987","0.987"
"10","15009","15009","15009","0.9973333333333333","0.9973333333333333","0.9973333333333333"
"11","16510","16510","16510","1","1","1"
"12","18011","18011","18011","1","1","1"
"13","19512","19512","19512","0.9993333333333333","0.9993333333333333","0.9993333333333333"
"14","21013","21013","21013","1","1","1"
"15","22514","22514","22514","1","1","1"
