"Step","0415093936 - test_precision","0415093936 - test_precision__MIN","0415093936 - test_precision__MAX"
"1500","0.9598839202130445","0.9598839202130445","0.9598839202130445"
"3001","0.9138868492217244","0.9138868492217244","0.9138868492217244"
"4502","0.9719272657716053","0.9719272657716053","0.9719272657716053"
"6003","0.9916609602433542","0.9916609602433542","0.9916609602433542"
"7504","0.9934176692380458","0.9934176692380458","0.9934176692380458"
"9005","0.9993346640053226","0.9993346640053226","0.9993346640053226"
"10506","0.9983416252072969","0.9983416252072969","0.9983416252072969"
"12007","0.9963600384964515","0.9963600384964515","0.9963600384964515"
"13508","0.987487969201155","0.987487969201155","0.987487969201155"
"15009","0.9973544973544973","0.9973544973544973","0.9973544973544973"
"16510","1","1","1"
"18011","1","1","1"
"19512","0.9993346640053226","0.9993346640053226","0.9993346640053226"
"21013","1","1","1"
"22514","1","1","1"
