"Step","0415093936 - test_recall","0415093936 - test_recall__MIN","0415093936 - test_recall__MAX"
"1500","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"3001","0.9013333333333334","0.9013333333333334","0.9013333333333334"
"4502","0.9716666666666667","0.9716666666666667","0.9716666666666667"
"6003","0.9916666666666667","0.9916666666666667","0.9916666666666667"
"7504","0.9933333333333333","0.9933333333333333","0.9933333333333333"
"9005","0.9993333333333334","0.9993333333333334","0.9993333333333334"
"10506","0.9983333333333334","0.9983333333333334","0.9983333333333334"
"12007","0.9963333333333333","0.9963333333333333","0.9963333333333333"
"13508","0.987","0.987","0.987"
"15009","0.9973333333333333","0.9973333333333333","0.9973333333333333"
"16510","1","1","1"
"18011","1","1","1"
"19512","0.9993333333333334","0.9993333333333334","0.9993333333333334"
"21013","1","1","1"
"22514","1","1","1"
