"Step","0415093936 - test_f1-score","0415093936 - test_f1-score__MIN","0415093936 - test_f1-score__MAX"
"1500","0.9579053366482188","0.9579053366482188","0.9579053366482188"
"3001","0.8969393628354018","0.8969393628354018","0.8969393628354018"
"4502","0.9716077021590036","0.9716077021590036","0.9716077021590036"
"6003","0.9916626559867283","0.9916626559867283","0.9916626559867283"
"7504","0.9933357755137348","0.9933357755137348","0.9933357755137348"
"9005","0.9993333326666659","0.9993333326666659","0.9993333326666659"
"10506","0.9983333229166016","0.9983333229166016","0.9983333229166016"
"12007","0.9963332590818297","0.9963332590818297","0.9963332590818297"
"13508","0.9869950548696141","0.9869950548696141","0.9869950548696141"
"15009","0.997333290665984","0.997333290665984","0.997333290665984"
"16510","1","1","1"
"18011","1","1","1"
"19512","0.9993333326666659","0.9993333326666659","0.9993333326666659"
"21013","1","1","1"
"22514","1","1","1"
