"epoch","0302125358 - _step","0302125358 - _step__MIN","0302125358 - _step__MAX","0302125358 - test_accuracy","0302125358 - test_accuracy__MIN","0302125358 - test_accuracy__MAX"
"1","375","375","375","0.848","0.848","0.848"
"2","751","751","751","0.9616666666666667","0.9616666666666667","0.9616666666666667"
"3","1127","1127","1127","0.9416666666666667","0.9416666666666667","0.9416666666666667"
"4","1503","1503","1503","0.9833333333333333","0.9833333333333333","0.9833333333333333"
"5","1879","1879","1879","0.9776666666666667","0.9776666666666667","0.9776666666666667"
"6","2255","2255","2255","0.9923333333333333","0.9923333333333333","0.9923333333333333"
"7","2631","2631","2631","0.9973333333333333","0.9973333333333333","0.9973333333333333"
"8","3007","3007","3007","0.9956666666666667","0.9956666666666667","0.9956666666666667"
"9","3383","3383","3383","0.996","0.996","0.996"
"10","3759","3759","3759","0.9953333333333333","0.9953333333333333","0.9953333333333333"
"11","4135","4135","4135","0.9996666666666667","0.9996666666666667","0.9996666666666667"
"12","4511","4511","4511","0.999","0.999","0.999"
"13","4887","4887","4887","0.999","0.999","0.999"
"14","5263","5263","5263","0.998","0.998","0.998"
"15","5639","5639","5639","0.998","0.998","0.998"
