"Step","0302125358 - test_precision","0302125358 - test_precision__MIN","0302125358 - test_precision__MAX"
"375","0.8946204133741279","0.8946204133741279","0.8946204133741279"
"751","0.9620432893634842","0.9620432893634842","0.9620432893634842"
"1127","0.9490490770686769","0.9490490770686769","0.9490490770686769"
"1503","0.9833498410062487","0.9833498410062487","0.9833498410062487"
"1879","0.978699379762357","0.978699379762357","0.978699379762357"
"2255","0.9924509414565325","0.9924509414565325","0.9924509414565325"
"2631","0.9973329943269823","0.9973329943269823","0.9973329943269823"
"3007","0.9956696276933159","0.9956696276933159","0.9956696276933159"
"3383","0.996021078682369","0.996021078682369","0.996021078682369"
"3759","0.9953319893199652","0.9953319893199652","0.9953319893199652"
"4135","0.9996669996669997","0.9996669996669997","0.9996669996669997"
"4511","0.9990029910269193","0.9990029910269193","0.9990029910269193"
"4887","0.9990003323336656","0.9990003323336656","0.9990003323336656"
"5263","0.9980053014181559","0.9980053014181559","0.9980053014181559"
"5639","0.9980013253386346","0.9980013253386346","0.9980013253386346"
