"Step","0302125358 - test_recall","0302125358 - test_recall__MIN","0302125358 - test_recall__MAX"
"375","0.848","0.848","0.848"
"751","0.9616666666666666","0.9616666666666666","0.9616666666666666"
"1127","0.9416666666666668","0.9416666666666668","0.9416666666666668"
"1503","0.9833333333333334","0.9833333333333334","0.9833333333333334"
"1879","0.9776666666666666","0.9776666666666666","0.9776666666666666"
"2255","0.9923333333333333","0.9923333333333333","0.9923333333333333"
"2631","0.9973333333333333","0.9973333333333333","0.9973333333333333"
"3007","0.9956666666666667","0.9956666666666667","0.9956666666666667"
"3383","0.996","0.996","0.996"
"3759","0.9953333333333333","0.9953333333333333","0.9953333333333333"
"4135","0.9996666666666667","0.9996666666666667","0.9996666666666667"
"4511","0.999","0.999","0.999"
"4887","0.999","0.999","0.999"
"5263","0.9980000000000001","0.9980000000000001","0.9980000000000001"
"5639","0.9979999999999999","0.9979999999999999","0.9979999999999999"
