"Step","0302125358 - train_accuracy","0302125358 - train_accuracy__MIN","0302125358 - train_accuracy__MAX"
"0","0.71875","0.71875","0.71875"
"1","0.84375","0.84375","0.84375"
"2","0.78125","0.78125","0.78125"
"3","0.90625","0.90625","0.90625"
"4","0.6875","0.6875","0.6875"
"5","0.84375","0.84375","0.84375"
"6","0.78125","0.78125","0.78125"
"7","0.75","0.75","0.75"
"8","0.78125","0.78125","0.78125"
"9","0.78125","0.78125","0.78125"
"10","0.90625","0.90625","0.90625"
"11","0.71875","0.71875","0.71875"
"12","0.84375","0.84375","0.84375"
"13","0.8125","0.8125","0.8125"
"14","0.9375","0.9375","0.9375"
"15","1","1","1"
"16","0.75","0.75","0.75"
"17","0.75","0.75","0.75"
"18","0.84375","0.84375","0.84375"
"19","0.90625","0.90625","0.90625"
"20","0.8125","0.8125","0.8125"
"21","0.875","0.875","0.875"
"22","0.8125","0.8125","0.8125"
"23","0.96875","0.96875","0.96875"
"24","0.8125","0.8125","0.8125"
"25","0.71875","0.71875","0.71875"
"26","0.8125","0.8125","0.8125"
"27","0.9375","0.9375","0.9375"
"28","0.8125","0.8125","0.8125"
"29","0.84375","0.84375","0.84375"
"30","0.78125","0.78125","0.78125"
"31","0.84375","0.84375","0.84375"
"32","0.9375","0.9375","0.9375"
"33","0.96875","0.96875","0.96875"
"34","0.8125","0.8125","0.8125"
"35","0.84375","0.84375","0.84375"
"36","0.875","0.875","0.875"
"37","0.90625","0.90625","0.90625"
"38","0.9375","0.9375","0.9375"
"39","0.90625","0.90625","0.90625"
"40","0.96875","0.96875","0.96875"
"41","0.96875","0.96875","0.96875"
"42","1","1","1"
"43","0.8125","0.8125","0.8125"
"44","0.84375","0.84375","0.84375"
"45","0.84375","0.84375","0.84375"
"46","0.875","0.875","0.875"
"47","0.75","0.75","0.75"
"48","0.9375","0.9375","0.9375"
"49","0.9375","0.9375","0.9375"
"50","0.875","0.875","0.875"
"51","1","1","1"
"52","0.9375","0.9375","0.9375"
"53","0.90625","0.90625","0.90625"
"54","0.90625","0.90625","0.90625"
"55","0.875","0.875","0.875"
"56","0.9375","0.9375","0.9375"
"57","0.75","0.75","0.75"
"58","0.90625","0.90625","0.90625"
"59","0.875","0.875","0.875"
"60","0.84375","0.84375","0.84375"
"61","0.9375","0.9375","0.9375"
"62","0.90625","0.90625","0.90625"
"63","0.8125","0.8125","0.8125"
"64","0.9375","0.9375","0.9375"
"65","0.90625","0.90625","0.90625"
"66","0.90625","0.90625","0.90625"
"67","0.78125","0.78125","0.78125"
"68","0.875","0.875","0.875"
"69","0.9375","0.9375","0.9375"
"70","0.875","0.875","0.875"
"71","0.9375","0.9375","0.9375"
"72","0.875","0.875","0.875"
"73","0.875","0.875","0.875"
"74","0.875","0.875","0.875"
"75","0.90625","0.90625","0.90625"
"76","0.90625","0.90625","0.90625"
"77","0.90625","0.90625","0.90625"
"78","0.9375","0.9375","0.9375"
"79","0.96875","0.96875","0.96875"
"80","0.84375","0.84375","0.84375"
"81","0.90625","0.90625","0.90625"
"82","0.9375","0.9375","0.9375"
"83","0.90625","0.90625","0.90625"
"84","0.90625","0.90625","0.90625"
"85","0.90625","0.90625","0.90625"
"86","0.84375","0.84375","0.84375"
"87","0.8125","0.8125","0.8125"
"88","0.90625","0.90625","0.90625"
"89","0.90625","0.90625","0.90625"
"90","0.875","0.875","0.875"
"91","0.96875","0.96875","0.96875"
"92","0.9375","0.9375","0.9375"
"93","0.90625","0.90625","0.90625"
"94","0.90625","0.90625","0.90625"
"95","0.90625","0.90625","0.90625"
"96","0.8125","0.8125","0.8125"
"97","0.875","0.875","0.875"
"98","0.84375","0.84375","0.84375"
"99","0.84375","0.84375","0.84375"
"100","0.90625","0.90625","0.90625"
"101","0.90625","0.90625","0.90625"
"102","0.90625","0.90625","0.90625"
"103","0.875","0.875","0.875"
"104","0.78125","0.78125","0.78125"
"105","0.84375","0.84375","0.84375"
"106","0.875","0.875","0.875"
"107","0.875","0.875","0.875"
"108","0.90625","0.90625","0.90625"
"109","0.84375","0.84375","0.84375"
"110","0.9375","0.9375","0.9375"
"111","0.84375","0.84375","0.84375"
"112","0.9375","0.9375","0.9375"
"113","0.875","0.875","0.875"
"114","0.9375","0.9375","0.9375"
"115","0.875","0.875","0.875"
"116","0.96875","0.96875","0.96875"
"117","0.96875","0.96875","0.96875"
"118","1","1","1"
"119","0.875","0.875","0.875"
"120","0.84375","0.84375","0.84375"
"121","0.8125","0.8125","0.8125"
"122","1","1","1"
"123","0.90625","0.90625","0.90625"
"124","0.90625","0.90625","0.90625"
"125","0.875","0.875","0.875"
"126","0.96875","0.96875","0.96875"
"127","0.9375","0.9375","0.9375"
"128","0.96875","0.96875","0.96875"
"129","0.9375","0.9375","0.9375"
"130","0.9375","0.9375","0.9375"
"131","1","1","1"
"132","0.90625","0.90625","0.90625"
"133","0.9375","0.9375","0.9375"
"134","0.75","0.75","0.75"
"135","0.90625","0.90625","0.90625"
"136","0.875","0.875","0.875"
"137","0.96875","0.96875","0.96875"
"138","0.875","0.875","0.875"
"139","0.90625","0.90625","0.90625"
"140","0.875","0.875","0.875"
"141","0.9375","0.9375","0.9375"
"142","0.96875","0.96875","0.96875"
"143","0.78125","0.78125","0.78125"
"144","0.875","0.875","0.875"
"145","1","1","1"
"146","0.8125","0.8125","0.8125"
"147","0.9375","0.9375","0.9375"
"148","1","1","1"
"149","0.90625","0.90625","0.90625"
"150","0.90625","0.90625","0.90625"
"151","1","1","1"
"152","0.96875","0.96875","0.96875"
"153","0.9375","0.9375","0.9375"
"154","0.9375","0.9375","0.9375"
"155","0.90625","0.90625","0.90625"
"156","0.96875","0.96875","0.96875"
"157","0.875","0.875","0.875"
"158","0.875","0.875","0.875"
"159","0.9375","0.9375","0.9375"
"160","0.8125","0.8125","0.8125"
"161","1","1","1"
"162","0.90625","0.90625","0.90625"
"163","0.9375","0.9375","0.9375"
"164","0.90625","0.90625","0.90625"
"165","0.9375","0.9375","0.9375"
"166","0.96875","0.96875","0.96875"
"167","0.9375","0.9375","0.9375"
"168","0.84375","0.84375","0.84375"
"169","0.875","0.875","0.875"
"170","0.78125","0.78125","0.78125"
"171","0.9375","0.9375","0.9375"
"172","0.9375","0.9375","0.9375"
"173","0.90625","0.90625","0.90625"
"174","0.9375","0.9375","0.9375"
"175","0.84375","0.84375","0.84375"
"176","0.875","0.875","0.875"
"177","0.84375","0.84375","0.84375"
"178","0.9375","0.9375","0.9375"
"179","0.90625","0.90625","0.90625"
"180","0.90625","0.90625","0.90625"
"181","0.8125","0.8125","0.8125"
"182","0.9375","0.9375","0.9375"
"183","0.875","0.875","0.875"
"184","0.9375","0.9375","0.9375"
"185","0.96875","0.96875","0.96875"
"186","0.9375","0.9375","0.9375"
"187","0.90625","0.90625","0.90625"
"188","0.875","0.875","0.875"
"189","0.90625","0.90625","0.90625"
"190","0.875","0.875","0.875"
"191","0.8125","0.8125","0.8125"
"192","0.9375","0.9375","0.9375"
"193","0.9375","0.9375","0.9375"
"194","0.84375","0.84375","0.84375"
"195","0.9375","0.9375","0.9375"
"196","0.90625","0.90625","0.90625"
"197","0.875","0.875","0.875"
"198","0.875","0.875","0.875"
"199","1","1","1"
"200","0.96875","0.96875","0.96875"
"201","0.78125","0.78125","0.78125"
"202","0.875","0.875","0.875"
"203","0.9375","0.9375","0.9375"
"204","1","1","1"
"205","1","1","1"
"206","0.75","0.75","0.75"
"207","0.90625","0.90625","0.90625"
"208","0.90625","0.90625","0.90625"
"209","0.9375","0.9375","0.9375"
"210","0.84375","0.84375","0.84375"
"211","0.875","0.875","0.875"
"212","0.875","0.875","0.875"
"213","0.9375","0.9375","0.9375"
"214","0.90625","0.90625","0.90625"
"215","0.84375","0.84375","0.84375"
"216","0.9375","0.9375","0.9375"
"217","0.96875","0.96875","0.96875"
"218","0.8125","0.8125","0.8125"
"219","0.90625","0.90625","0.90625"
"220","0.9375","0.9375","0.9375"
"221","0.96875","0.96875","0.96875"
