"epoch","0415183930 - _step","0415183930 - _step__MIN","0415183930 - _step__MAX","0415183930 - test_accuracy","0415183930 - test_accuracy__MIN","0415183930 - test_accuracy__MAX"
"1","375","375","375","0.9486666666666667","0.9486666666666667","0.9486666666666667"
"2","751","751","751","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"3","1127","1127","1127","0.9606666666666667","0.9606666666666667","0.9606666666666667"
"4","1503","1503","1503","0.9546666666666667","0.9546666666666667","0.9546666666666667"
"5","1879","1879","1879","0.9286666666666666","0.9286666666666666","0.9286666666666666"
"6","2255","2255","2255","0.9656666666666667","0.9656666666666667","0.9656666666666667"
"7","2631","2631","2631","0.96","0.96","0.96"
"8","3007","3007","3007","0.9586666666666667","0.9586666666666667","0.9586666666666667"
"9","3383","3383","3383","0.9663333333333334","0.9663333333333334","0.9663333333333334"
"10","3759","3759","3759","0.969","0.969","0.969"
"11","4135","4135","4135","0.969","0.969","0.969"
"12","4511","4511","4511","0.9686666666666667","0.9686666666666667","0.9686666666666667"
"13","4887","4887","4887","0.965","0.965","0.965"
"14","5263","5263","5263","0.9706666666666667","0.9706666666666667","0.9706666666666667"
"15","5639","5639","5639","0.97","0.97","0.97"
