epoch,batch,train_loss,train_accuracy
0.0,0.0,1.1907845,0.359375
1.0,1.0,0.83229023,0.65625
1.0,2.0,0.4156201,0.84375
1.0,3.0,0.98263323,0.796875
1.0,4.0,0.6607046,0.84375
1.0,5.0,0.49284714,0.765625
1.0,6.0,0.40367404,0.875
1.0,7.0,0.41178042,0.765625
1.0,8.0,0.20094338,0.96875
1.0,9.0,0.30174953,0.890625
1.0,10.0,0.29064047,0.921875
1.0,11.0,0.27571028,0.875
1.0,12.0,0.21679859,0.90625
1.0,13.0,0.3733533,0.875
1.0,14.0,0.20969076,0.953125
1.0,15.0,0.23252875,0.90625
1.0,16.0,0.4724431,0.859375
1.0,17.0,0.22417383,0.90625
1.0,18.0,0.1823286,0.921875
1.0,19.0,0.30981597,0.84375
1.0,20.0,0.14463933,0.9375
1.0,21.0,0.2579444,0.921875
1.0,22.0,0.22577235,0.90625
1.0,23.0,0.11501845,0.9375
1.0,24.0,0.32346618,0.875
1.0,25.0,0.13326322,0.96875
1.0,26.0,0.14455186,0.9375
1.0,27.0,0.12484636,0.9375
1.0,28.0,0.2583094,0.875
1.0,29.0,0.28429082,0.859375
1.0,30.0,0.444752,0.84375
1.0,31.0,0.11480964,0.9375
1.0,32.0,0.16174409,0.953125
1.0,33.0,0.39390785,0.84375
1.0,34.0,0.5634668,0.734375
1.0,35.0,0.20493843,0.921875
1.0,36.0,0.15720803,0.953125
1.0,37.0,0.11552199,1.0
1.0,38.0,0.23538178,0.90625
1.0,39.0,0.16077313,0.953125
1.0,40.0,0.21041492,0.90625
1.0,41.0,0.21388295,0.890625
1.0,42.0,0.26583913,0.90625
1.0,43.0,0.17622864,0.9375
1.0,44.0,0.13658682,0.953125
1.0,45.0,0.13802697,0.921875
1.0,46.0,0.25442114,0.90625
1.0,47.0,0.10441815,1.0
1.0,48.0,0.35003397,0.890625
1.0,49.0,0.18896726,0.921875
1.0,50.0,0.09714864,0.984375
1.0,51.0,0.29020527,0.890625
1.0,52.0,0.20711833,0.9375
1.0,53.0,0.1317108,0.9375
1.0,54.0,0.17408392,0.890625
1.0,55.0,0.154119,0.9375
1.0,56.0,0.14016557,0.9375
1.0,57.0,0.23296413,0.921875
1.0,58.0,0.18401006,0.921875
1.0,59.0,0.14536841,0.921875
1.0,60.0,0.3962573,0.875
1.0,61.0,0.36879975,0.890625
1.0,62.0,0.23164083,0.90625
1.0,63.0,0.29327098,0.9375
1.0,64.0,0.08270511,0.96875
1.0,65.0,0.1951587,0.90625
1.0,66.0,0.22311923,0.90625
1.0,67.0,0.14528076,0.953125
1.0,68.0,0.15770128,0.9375
1.0,69.0,0.091756366,0.96875
1.0,70.0,0.12685284,0.9375
1.0,71.0,0.22782439,0.9375
1.0,72.0,0.35166907,0.890625
1.0,73.0,0.26739326,0.90625
1.0,74.0,0.112473264,0.953125
1.0,75.0,0.1108845,0.96875
1.0,76.0,0.15936074,0.953125
1.0,77.0,0.2833681,0.90625
1.0,78.0,0.20372243,0.921875
1.0,79.0,0.204996,0.859375
1.0,80.0,0.3428725,0.859375
1.0,81.0,0.25598985,0.875
1.0,82.0,0.1391924,0.9375
1.0,83.0,0.09657539,0.96875
1.0,84.0,0.2319282,0.875
1.0,85.0,0.2958794,0.875
1.0,86.0,0.08367177,1.0
1.0,87.0,0.23706955,0.890625
1.0,88.0,0.30122295,0.859375
1.0,89.0,0.20312008,0.953125
1.0,90.0,0.13761705,0.953125
1.0,91.0,0.20428646,0.90625
1.0,92.0,0.19976185,0.921875
1.0,93.0,0.20027614,0.90625
1.0,94.0,0.102461554,0.953125
1.0,95.0,0.2215722,0.890625
1.0,96.0,0.15910676,0.953125
1.0,97.0,0.18318205,0.9375
1.0,98.0,0.14210255,0.9375
1.0,99.0,0.09870334,0.984375
