"epoch","0504151150 - _step","0504151150 - _step__MIN","0504151150 - _step__MAX","0504151150 - test_precision","0504151150 - test_precision__MIN","0504151150 - test_precision__MAX"
"1","188","188","188","0.9491593032455955","0.9491593032455955","0.9491593032455955"
"2","377","377","377","0.9268986393334533","0.9268986393334533","0.9268986393334533"
"3","566","566","566","0.961262575225021","0.961262575225021","0.961262575225021"
"4","755","755","755","0.9333827459964512","0.9333827459964512","0.9333827459964512"
"5","944","944","944","0.9808187162586691","0.9808187162586691","0.9808187162586691"
"6","1133","1133","1133","0.980463000133815","0.980463000133815","0.980463000133815"
"7","1322","1322","1322","0.9642857142857143","0.9642857142857143","0.9642857142857143"
"8","1511","1511","1511","0.9966877880184333","0.9966877880184333","0.9966877880184333"
"9","1700","1700","1700","0.9744536780547861","0.9744536780547861","0.9744536780547861"
"10","1889","1889","1889","0.9990003323336656","0.9990003323336656","0.9990003323336656"
"11","2078","2078","2078","0.9986679946719788","0.9986679946719788","0.9986679946719788"
"12","2267","2267","2267","0.9983363183601986","0.9983363183601986","0.9983363183601986"
"13","2456","2456","2456","1","1","1"
"14","2645","2645","2645","0.99867197875166","0.99867197875166","0.99867197875166"
"15","2834","2834","2834","0.9986666666666667","0.9986666666666667","0.9986666666666667"
"16","3023","3023","3023","1","1","1"
"17","3212","3212","3212","0.99867197875166","0.99867197875166","0.99867197875166"
"18","3401","3401","3401","1","1","1"
"19","3590","3590","3590","1","1","1"
"20","3779","3779","3779","1","1","1"
"21","3968","3968","3968","1","1","1"
"22","4157","4157","4157","1","1","1"
"23","4346","4346","4346","1","1","1"
"24","4535","4535","4535","1","1","1"
"25","4724","4724","4724","0.9996669996669997","0.9996669996669997","0.9996669996669997"
"26","4913","4913","4913","0.9996669996669997","0.9996669996669997","0.9996669996669997"
"27","5102","5102","5102","0.9996669996669997","0.9996669996669997","0.9996669996669997"
"28","5291","5291","5291","0.9996669996669997","0.9996669996669997","0.9996669996669997"
"29","5480","5480","5480","0.9996669996669997","0.9996669996669997","0.9996669996669997"
"30","5669","5669","5669","1","1","1"
