"epoch","0504151150 - _step","0504151150 - _step__MIN","0504151150 - _step__MAX","0504151150 - test_f1-score","0504151150 - test_f1-score__MIN","0504151150 - test_f1-score__MAX"
"1","188","188","188","0.9444335096454631","0.9444335096454631","0.9444335096454631"
"2","377","377","377","0.9117037149266861","0.9117037149266861","0.9117037149266861"
"3","566","566","566","0.9589111079821758","0.9589111079821758","0.9589111079821758"
"4","755","755","755","0.9189837319333721","0.9189837319333721","0.9189837319333721"
"5","944","944","944","0.9806643270502398","0.9806643270502398","0.9806643270502398"
"6","1133","1133","1133","0.9793147165782538","0.9793147165782538","0.9793147165782538"
"7","1322","1322","1322","0.9598554797270173","0.9598554797270173","0.9598554797270173"
"8","1511","1511","1511","0.9966666133324799","0.9966666133324799","0.9966666133324799"
"9","1700","1700","1700","0.9722856022117424","0.9722856022117424","0.9722856022117424"
"10","1889","1889","1889","0.9989999997499998","0.9989999997499998","0.9989999997499998"
"11","2078","2078","2078","0.9986666653333319","0.9986666653333319","0.9986666653333319"
"12","2267","2267","2267","0.9983333295833248","0.9983333295833248","0.9983333295833248"
"13","2456","2456","2456","1","1","1"
"14","2645","2645","2645","0.9986666613333121","0.9986666613333121","0.9986666613333121"
"15","2834","2834","2834","0.9986666666666667","0.9986666666666667","0.9986666666666667"
"16","3023","3023","3023","1","1","1"
"17","3212","3212","3212","0.9986666613333121","0.9986666613333121","0.9986666613333121"
"18","3401","3401","3401","1","1","1"
"19","3590","3590","3590","1","1","1"
"20","3779","3779","3779","1","1","1"
"21","3968","3968","3968","1","1","1"
"22","4157","4157","4157","1","1","1"
"23","4346","4346","4346","1","1","1"
"24","4535","4535","4535","1","1","1"
"25","4724","4724","4724","0.9996666665833334","0.9996666665833334","0.9996666665833334"
"26","4913","4913","4913","0.9996666665833334","0.9996666665833334","0.9996666665833334"
"27","5102","5102","5102","0.9996666665833334","0.9996666665833334","0.9996666665833334"
"28","5291","5291","5291","0.9996666665833334","0.9996666665833334","0.9996666665833334"
"29","5480","5480","5480","0.9996666665833334","0.9996666665833334","0.9996666665833334"
"30","5669","5669","5669","1","1","1"
