"epoch","0504151150 - _step","0504151150 - _step__MIN","0504151150 - _step__MAX","0504151150 - test_loss","0504151150 - test_loss__MIN","0504151150 - test_loss__MAX"
"1","188","188","188","0.45269113779067993","0.45269113779067993","0.45269113779067993"
"2","377","377","377","1.0937539339065552","1.0937539339065552","1.0937539339065552"
"3","566","566","566","0.2163015902042389","0.2163015902042389","0.2163015902042389"
"4","755","755","755","0.9348847270011902","0.9348847270011902","0.9348847270011902"
"5","944","944","944","0.10829704999923706","0.10829704999923706","0.10829704999923706"
"6","1133","1133","1133","0.012325110845267773","0.012325110845267773","0.012325110845267773"
"7","1322","1322","1322","0.217873677611351","0.217873677611351","0.217873677611351"
"8","1511","1511","1511","0.012611256912350655","0.012611256912350655","0.012611256912350655"
"9","1700","1700","1700","0.0009484353358857334","0.0009484353358857334","0.0009484353358857334"
"10","1889","1889","1889","0.01625402458012104","0.01625402458012104","0.01625402458012104"
"11","2078","2078","2078","0.01941787637770176","0.01941787637770176","0.01941787637770176"
"12","2267","2267","2267","0.02172716148197651","0.02172716148197651","0.02172716148197651"
"13","2456","2456","2456","0.004626706708222628","0.004626706708222628","0.004626706708222628"
"14","2645","2645","2645","0.001734873396344483","0.001734873396344483","0.001734873396344483"
"15","2834","2834","2834","0.013051995076239109","0.013051995076239109","0.013051995076239109"
"16","3023","3023","3023","0.002538332249969244","0.002538332249969244","0.002538332249969244"
"17","3212","3212","3212","0.02122640050947666","0.02122640050947666","0.02122640050947666"
"18","3401","3401","3401","0.002512973267585039","0.002512973267585039","0.002512973267585039"
"19","3590","3590","3590","0.00047380340402014554","0.00047380340402014554","0.00047380340402014554"
"20","3779","3779","3779","0.002973108319565654","0.002973108319565654","0.002973108319565654"
"21","3968","3968","3968","0.0021369983442127705","0.0021369983442127705","0.0021369983442127705"
"22","4157","4157","4157","0.0000757503803470172","0.0000757503803470172","0.0000757503803470172"
"23","4346","4346","4346","0.0010272926883772016","0.0010272926883772016","0.0010272926883772016"
"24","4535","4535","4535","0.0004361943865660578","0.0004361943865660578","0.0004361943865660578"
"25","4724","4724","4724","0.002189187565818429","0.002189187565818429","0.002189187565818429"
"26","4913","4913","4913","0.0003312150074634701","0.0003312150074634701","0.0003312150074634701"
"27","5102","5102","5102","0.00018788113084156066","0.00018788113084156066","0.00018788113084156066"
"28","5291","5291","5291","0.00022159442596603185","0.00022159442596603185","0.00022159442596603185"
"29","5480","5480","5480","0.00011498695675982162","0.00011498695675982162","0.00011498695675982162"
"30","5669","5669","5669","0.0001653996587265283","0.0001653996587265283","0.0001653996587265283"
