epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,1.722497582435608,0.3526666666666667,0.3295349393949274,0.3526666666666667,0.2718582823788105
1.0,0.45269113779067993,0.9446666666666667,0.9491593032455955,0.9446666666666665,0.9444335096454631
2.0,1.0937539339065552,0.911,0.9268986393334533,0.911,0.9117037149266861
3.0,0.2163015902042389,0.959,0.961262575225021,0.959,0.9589111079821758
4.0,0.9348847270011902,0.92,0.9333827459964512,0.9199999999999999,0.9189837319333721
5.0,0.10829704999923706,0.9806666666666667,0.9808187162586691,0.9806666666666667,0.9806643270502398
6.0,0.012325110845267773,0.9793333333333333,0.980463000133815,0.9793333333333334,0.9793147165782538
7.0,0.217873677611351,0.96,0.9642857142857143,0.96,0.9598554797270173
8.0,0.012611256912350655,0.9966666666666667,0.9966877880184333,0.9966666666666667,0.9966666133324799
9.0,0.0009484353358857334,0.9723333333333334,0.9744536780547861,0.9723333333333333,0.9722856022117424
10.0,0.01625402458012104,0.999,0.9990003323336656,0.999,0.9989999997499998
11.0,0.01941787637770176,0.9986666666666667,0.9986679946719788,0.9986666666666667,0.9986666653333319
12.0,0.02172716148197651,0.9983333333333333,0.9983363183601986,0.9983333333333334,0.9983333295833248
13.0,0.004626706708222628,1.0,1.0,1.0,1.0
14.0,0.001734873396344483,0.9986666666666667,0.99867197875166,0.9986666666666667,0.9986666613333121
15.0,0.013051995076239109,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667
16.0,0.002538332249969244,1.0,1.0,1.0,1.0
17.0,0.02122640050947666,0.9986666666666667,0.99867197875166,0.9986666666666667,0.9986666613333121
18.0,0.002512973267585039,1.0,1.0,1.0,1.0
19.0,0.00047380340402014554,1.0,1.0,1.0,1.0
20.0,0.002973108319565654,1.0,1.0,1.0,1.0
21.0,0.0021369983442127705,1.0,1.0,1.0,1.0
22.0,7.57503803470172e-05,1.0,1.0,1.0,1.0
23.0,0.0010272926883772016,1.0,1.0,1.0,1.0
24.0,0.0004361943865660578,1.0,1.0,1.0,1.0
25.0,0.002189187565818429,0.9996666666666667,0.9996669996669997,0.9996666666666667,0.9996666665833334
26.0,0.0003312150074634701,0.9996666666666667,0.9996669996669997,0.9996666666666667,0.9996666665833334
27.0,0.00018788113084156066,0.9996666666666667,0.9996669996669997,0.9996666666666667,0.9996666665833334
28.0,0.00022159442596603185,0.9996666666666667,0.9996669996669997,0.9996666666666667,0.9996666665833334
29.0,0.00011498695675982162,0.9996666666666667,0.9996669996669997,0.9996666666666667,0.9996666665833334
30.0,0.0001653996587265283,1.0,1.0,1.0,1.0
